WORD ID,word,Frequency,CAT ID,LEVEL ID
377,casos,39,8,L2
378,conocida,39,3,L2
379,elementos,39,6,L2
380,formas,39,6,L2
381,imagen,39,3,L2
382,importantes,39,2,L2
383,ley,39,1,L2
384,muestra,39,7,L2
385,ni,39,8,L1
386,origen,39,9,L2
387,período,39,9,L2
388,sencillo,39,13,L2
389,ve,39,3,L2
390,actividades,38,13,L2
391,Actualmente,38,1,L2
392,América,38,10,L1
393,ataque,38,4,L2
394,campaña,38,1,L2
395,incluye,38,5,L2
396,joven,38,12,L1
397,lanzamiento,38,6,L2
398,mm,38,6,L1
399,murió,38,11,L2
400,ninguna,38,1,L1
401,respecto,38,12,L2
402,rey,38,9,L2
403,sabe,38,7,L1
404,unas,38,12,L1
405,apoyo,37,12,L2
406,camino,37,13,L1
407,derecho,37,8,L2
408,entrada,37,13,L1
409,estilo,37,3,L2
410,fuerza,37,6,L2
411,función,37,6,L2
412,libre,37,12,L2
413,mitad,37,2,L2
414,movimiento,37,12,L2
415,municipio,37,1,L2
416,posición,37,4,L2
417,recibió,37,3,L2
418,arte,36,3,L2
419,cabo,36,8,L2
420,efecto,36,6,L2
421,español,36,12,L1
422,gente,36,12,L1
423,inglés,36,7,L1
424,internacional,36,1,L2
425,juegos,36,4,L2
426,llegar,36,13,L1
427,miembro,36,1,L2
428,pequeña,36,10,L1
429,siguientes,36,9,L2
430,sitio,36,13,L2
431,situación,36,12,L2
432,tercer,36,4,L2
433,actual,35,1,L2
434,ante,35,8,L2
435,capital,35,2,L2
436,conjunto,35,6,L2
437,crear,35,3,L2
438,década,35,9,L2
439,estación,35,14,L2
440,existe,35,6,L2
441,gracias,35,13,L1
442,Instituto,35,7,L2
443,jugador,35,4,L2
444,lista,35,5,L1
445,luz,35,6,L1
446,noche,35,13,L1
447,popular,35,3,L2
448,propia,35,12,L2
449,respuesta,35,7,L2
450,algo,34,13,L1
451,cabeza,34,11,L1
452,Chile,34,1,L1
453,cómo,34,6,L1
454,dejó,34,9,L2
455,derechos,34,8,L2
456,dinero,34,2,L1
457,Ella,34,12,L1
458,especial,34,3,L2
459,especies,34,10,L2
460,etapa,34,6,L2
461,me,34,13,L1
462,menudo,34,13,L2
463,pocos,34,12,L1
464,podía,34,9,L2
465,presencia,34,1,L2
466,principalmente,34,2,L2
467,va,34,13,L1
468,finalmente,33,9,L2
469,hermano,33,12,L1
470,interés,33,2,L2
471,logró,33,4,L2
472,mejores,33,4,L2
473,modelo,33,6,L2
474,necesario,33,5,L2
475,ocasiones,33,13,L2
476,participación,33,12,L3
